City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Caravelas,-17.71,-39.25,73.81,92,100,9.91,BR,1589678270
Thinadhoo,0.53,72.93,85.19,74,83,18.84,MV,1589678270
Kenai,60.55,-151.26,50.92,66,1,17.22,US,1589678271
Yangi Marg`ilon,40.43,71.72,51.8,81,0,6.93,UZ,1589678060
Mikuni,36.22,136.15,62.6,93,90,8.05,JP,1589678271
Virginia Beach,36.85,-75.98,70.47,68,40,5.82,US,1589678059
Sertã,39.81,-8.1,54.46,93,0,3.51,PT,1589678271
Aberdare,51.71,-3.45,46.29,88,41,3.29,GB,1589678272
Prykolotne,50.16,37.35,45.36,93,68,7.4,UA,1589678272
Troitskoye,52.98,84.68,63.88,62,2,3.83,RU,1589678272
Los Llanos de Aridane,28.66,-17.92,61.23,59,90,12.75,ES,1589678272
São João da Barra,-21.64,-41.05,69.08,87,100,2.17,BR,1589678272
Nantucket,41.28,-70.1,48.63,87,1,8.05,US,1589678121
Najrān,17.49,44.13,77.0,27,51,2.26,SA,1589678273
Sobolevo,54.43,31.9,40.06,93,0,10.36,RU,1589678273
Omboué,-1.57,9.26,79.0,92,98,5.84,GA,1589678132
Marau,-28.45,-52.2,50.25,79,0,2.42,BR,1589678274
Havøysund,71.0,24.66,33.8,95,100,13.87,NO,1589678274
Fairbanks,64.84,-147.72,54.0,24,1,13.87,US,1589678131
Wangou,42.06,126.91,56.3,90,100,4.25,CN,1589678275
Belyy Yar,53.6,91.39,62.6,67,52,2.24,RU,1589678275
Kuliyapitiya,7.47,80.04,84.2,100,40,2.24,LK,1589678275
Chifeng,42.27,118.96,58.84,29,0,12.17,CN,1589678275
Meadow Lake,34.8,-106.54,79.57,10,40,4.7,US,1589678276
Bulungu,-4.55,18.6,71.19,81,0,2.01,CD,1589678276
Klyuchi,52.27,79.17,67.23,50,91,5.1,RU,1589678276
Sinjār,36.32,41.88,79.75,32,0,8.68,IQ,1589678276
Samarai,-10.62,150.67,80.02,82,100,14.34,PG,1589678276
Talnakh,69.49,88.4,37.4,93,75,17.9,RU,1589678277
Kaitangata,-46.28,169.85,53.83,62,0,3.06,NZ,1589678277
Fortuna,40.6,-124.16,59.54,87,90,12.75,US,1589678019
Omsukchan,62.53,155.8,34.3,90,100,8.08,RU,1589678277
Takoradze,4.88,-1.76,80.96,86,5,8.39,GH,1589678277
Skellefteå,64.75,20.95,32.0,91,90,3.36,SE,1589678278
Porteirinha,-15.74,-43.03,69.85,88,100,4.21,BR,1589678278
Erenhot,43.65,111.98,43.75,61,98,16.24,CN,1589678278
Hailar,49.2,119.7,60.6,37,99,22.53,CN,1589678278
Mudgee,-32.59,149.59,58.32,76,0,9.17,AU,1589678048
Tura,25.52,90.22,76.91,88,0,1.63,IN,1589678279
Coyhaique,-45.58,-72.07,44.6,87,75,3.36,CL,1589678016
Ilo,-17.64,-71.34,63.07,79,74,2.01,PE,1589678279
Huntington,38.42,-82.45,68.5,94,75,4.32,US,1589678067
Ngaoundéré,7.32,13.58,65.88,86,100,3.58,CM,1589678280
Hobyo,5.35,48.53,82.27,76,0,23.17,SO,1589678280
Khairpur Nathan Shah,27.09,67.73,87.51,25,75,1.52,PK,1589678280
Katangli,51.71,143.23,39.6,73,9,17.13,RU,1589678281
Esso,55.93,158.7,34.86,86,95,3.71,RU,1589678281
Rumphi,-11.02,33.86,56.07,62,0,3.33,MW,1589678281
Pitimbu,-7.47,-34.81,77.0,100,75,4.7,BR,1589678281
Shūshtar,32.05,48.86,85.96,14,0,5.86,IR,1589678281
Kidal,18.44,1.41,87.26,14,0,16.78,ML,1589678282
Dandong,40.13,124.39,58.6,92,100,8.16,CN,1589678282
Lebedyn,50.59,34.48,45.63,89,78,6.04,UA,1589678282
Black River,18.03,-77.85,84.13,66,20,5.82,JM,1589678283
Faanui,-16.48,-151.75,82.09,74,19,7.65,PF,1589678283
Yichang,30.71,111.28,83.41,49,6,3.94,CN,1589678283
Shunyi,40.12,116.65,67.91,29,45,2.24,CN,1589678284
São Filipe,14.9,-24.5,72.57,81,5,7.61,CV,1589678284
Moranbah,-22.0,148.05,70.83,61,100,19.93,AU,1589678284
Oulu,65.01,25.47,33.53,86,100,4.7,FI,1589677996
Puerto Cabezas,14.04,-83.39,80.56,82,20,6.44,NI,1589678285
Souillac,-20.52,57.52,69.8,94,20,4.7,MU,1589678285
Pitmoaga,12.24,-1.88,91.4,43,45,12.75,BF,1589678286
Santa Marta,11.24,-74.2,84.0,78,100,12.35,CO,1589678245
Alice Springs,-23.7,133.88,59.0,33,0,11.41,AU,1589678286
Antalaha,-14.9,50.28,72.9,84,1,6.4,MG,1589678286
Dzhida,50.68,106.18,49.96,45,0,4.21,RU,1589678287
Arlit,18.74,7.39,88.88,13,85,5.86,NE,1589678088
Port Lincoln,-34.73,135.87,60.73,48,0,7.09,AU,1589678080
Illapel,-31.63,-71.17,58.55,61,0,0.31,CL,1589678287
Yulara,-25.24,130.99,57.2,33,0,11.41,AU,1589678287
Clyde River,70.47,-68.59,21.2,79,1,8.05,CA,1589678288
Santa Rosalía,27.32,-112.28,79.23,46,0,4.0,MX,1589678288
Beloha,-25.17,45.05,63.34,82,16,7.02,MG,1589678288
Moissac,44.1,1.09,54.19,81,16,3.36,FR,1589678288
Arman',59.7,150.17,44.31,61,100,4.23,RU,1589678027
Hamada,34.88,132.08,66.2,93,75,6.93,JP,1589678289
Sharan,54.82,54.0,42.06,81,88,3.53,RU,1589678289
Yamada,39.47,141.95,57.47,87,98,6.82,JP,1589678290
Dannenberg,53.1,11.09,46.92,72,87,4.0,DE,1589678290
Karagach,43.81,43.77,50.0,93,75,6.71,RU,1589678290
North Platte,41.12,-100.77,61.45,55,1,16.11,US,1589678290
Livingston,55.9,-3.52,48.7,81,20,10.29,GB,1589678291
Mitsamiouli,-11.38,43.28,79.32,71,1,19.6,KM,1589678291
Synya,65.37,58.04,36.55,82,100,4.07,RU,1589678291
Sampit,-2.53,112.95,81.66,92,85,3.27,ID,1589678291
Charters Towers,-20.1,146.27,73.87,55,100,13.13,AU,1589678015
Naryan-Mar,67.67,53.09,39.61,73,100,7.63,RU,1589678292
Borogontsy,62.67,131.17,59.67,44,0,5.26,RU,1589678292
Ifakara,-8.13,36.68,68.04,75,45,3.53,TZ,1589678292
Korla,41.76,86.15,79.57,17,100,14.03,CN,1589678292
Kushima,31.46,131.23,73.49,78,75,9.17,JP,1589678293
Hasaki,35.73,140.83,75.16,73,20,4.7,JP,1589678293
Whitehorse,60.72,-135.05,48.54,70,75,17.22,CA,1589678037
Freeport,40.66,-73.58,62.15,55,1,6.93,US,1589678085
Jutaí,-5.18,-68.9,72.07,95,18,1.01,BR,1589678294
Linden,6.0,-58.3,80.6,88,40,9.17,GY,1589678294
Jashpurnagar,22.9,84.15,83.01,30,22,2.21,IN,1589678193
Taunggyi,20.78,97.03,74.98,50,33,4.52,MM,1589678294
Mēga,4.05,38.3,56.1,100,5,8.19,ET,1589678165
Kikwit,-5.04,18.82,71.92,76,0,2.28,CD,1589678295
Dwārka,22.24,68.97,80.98,81,0,19.06,IN,1589678031
Saint-Pierre,-21.34,55.48,68.27,78,75,6.93,RE,1589678295
Nacala,-14.54,40.67,68.65,76,14,9.69,MZ,1589678296
Priargunsk,50.37,119.1,63.28,35,1,15.86,RU,1589678296
Naze,28.37,129.48,77.0,100,75,12.75,JP,1589678296
Dunedin,-45.87,170.5,55.54,47,0,0.94,NZ,1589678296
Lensk,60.73,114.93,46.81,91,100,4.85,RU,1589678297
Verkhnyaya Inta,65.98,60.31,32.83,92,100,6.24,RU,1589678297
Lüderitz,-26.65,15.16,69.8,28,0,4.7,NA,1589678147
Payo,-3.75,103.64,79.84,81,69,0.96,ID,1589678297
Quatre Cocos,-20.21,57.76,70.93,94,20,4.7,MU,1589678298
Araouane,18.9,-3.53,85.59,15,0,11.05,ML,1589678298
Rome,43.21,-75.46,54.21,66,1,5.82,US,1589678298
Noblesville,40.05,-86.01,71.62,73,100,1.01,US,1589678299
Zyryanka,65.75,150.85,41.99,74,100,10.25,RU,1589678299
San Rafael,-34.62,-68.33,66.18,28,0,7.49,AR,1589678299
La Santisima Trinidad,-14.83,-64.9,67.42,74,13,3.38,BO,1589678299
Broome,42.25,-75.83,56.25,66,1,9.17,US,1589678299
Iqaluit,63.75,-68.51,32.0,97,40,1.41,CA,1589678300
Camopi,3.17,-52.32,74.41,97,94,2.98,GF,1589678284
Ulladulla,-35.35,150.47,59.76,68,0,3.36,AU,1589678111
Aswān,24.09,32.91,84.4,33,0,13.62,EG,1589678300
Ternat,50.87,4.18,39.96,89,0,3.04,BE,1589678301
Berlevåg,70.86,29.09,32.9,95,100,8.52,NO,1589678072
Kushiro,42.98,144.37,51.8,93,75,5.82,JP,1589678301
Launceston,-41.45,147.17,55.74,76,7,12.75,AU,1589678062
College,64.86,-147.8,53.38,24,40,13.87,US,1589678301
Kamenka,51.32,42.77,39.99,92,0,7.4,RU,1589678302
Madaoua,14.07,5.96,88.25,42,15,13.35,NE,1589678302
Hervey Bay,-25.3,152.85,71.01,82,18,8.99,AU,1589678085
Khāsh,28.22,61.22,66.79,26,0,6.64,IR,1589678302
Kayes,14.0,-11.0,98.6,29,100,4.7,ML,1589678303
Pangnirtung,66.15,-65.71,29.25,91,2,2.19,CA,1589678303
Lata,40.16,-8.33,55.49,89,0,3.13,PT,1589678303
Hofn,64.25,-15.21,39.49,72,99,5.66,IS,1589678303
Dongsheng,39.82,109.98,48.6,44,0,24.72,CN,1589678304
Fort Nelson,58.81,-122.7,55.4,43,75,6.93,CA,1589678304
Ambon City,-3.7,128.18,83.89,79,15,14.12,ID,1589678162
Katwa,23.64,88.13,85.5,68,0,9.69,IN,1589678304
Sioux Lookout,50.1,-91.92,57.2,62,75,2.24,CA,1589678304
Mbandaka,0.05,18.26,72.9,91,54,1.52,CD,1589678305
Adrar,20.5,-10.07,75.69,19,0,11.88,MR,1589678098
The Valley,18.22,-63.06,81.1,69,20,13.87,AI,1589678104
Vestmanna,62.16,-7.17,39.2,80,100,16.11,FO,1589678222
Nadym,65.53,72.52,42.17,81,30,7.09,RU,1589678306
Nouadhibou,20.93,-17.03,66.2,72,44,20.8,MR,1589678091
Avera,33.19,-82.53,73.27,64,40,5.5,US,1589678053
Friesach,46.96,14.41,49.32,93,75,2.24,AT,1589678306
Jelgava,56.65,23.71,42.8,93,50,8.05,LV,1589678306
Kamaishi,39.27,141.88,62.6,93,75,1.12,JP,1589678307
Mana,5.66,-53.78,77.68,86,100,10.83,GF,1589678307
Popondetta,-8.75,148.25,86.9,60,72,2.26,PG,1589678307
Ayan,56.45,138.17,36.36,83,98,10.42,RU,1589678307
Salinópolis,-0.61,-47.36,78.21,82,100,3.78,BR,1589678308
Luba,3.46,8.55,77.0,100,20,4.7,GQ,1589678284
Kalangala,-0.31,32.23,73.92,72,34,6.08,UG,1589678308
Bambous Virieux,-20.34,57.76,70.83,94,20,4.7,MU,1589678065
Sept-Îles,50.2,-66.38,50.0,61,75,5.03,CA,1589678069
Constitución,-35.33,-72.42,58.86,80,0,9.62,CL,1589678309
Norman Wells,65.28,-126.83,30.2,58,75,19.46,CA,1589678020
Vallenar,-28.57,-70.76,56.97,72,0,1.21,CL,1589678309
Paraná,-31.73,-60.52,66.63,62,0,4.0,AR,1589678309
Andenes,69.31,16.12,37.4,74,3,11.41,NO,1589678309
Masvingo,-20.06,30.83,57.99,84,94,11.68,ZW,1589678310
Solnechnyy,50.72,136.63,47.23,54,22,9.95,RU,1589678310
Westport,41.14,-73.36,63.32,68,90,2.19,US,1589678078
Hirtshals,57.59,9.96,43.0,80,100,8.01,DK,1589678310
Ambilobe,-13.2,49.05,72.46,93,0,2.39,MG,1589678311
Tessalit,20.2,1.01,82.24,16,19,9.37,ML,1589678311
Chara,56.91,118.26,48.09,74,82,2.24,RU,1589678311
Klaeng,12.78,101.65,91.0,79,100,6.42,TH,1589678311
Sambava,-14.27,50.17,74.35,83,30,8.75,MG,1589678312
Mayumba,-3.43,10.66,78.03,93,72,4.92,GA,1589678312
Tokmak,47.25,35.71,46.74,77,91,5.48,UA,1589678312
Province of Mantua,45.17,10.78,59.0,95,100,1.01,IT,1589678312
Elko,41.0,-115.5,70.56,17,1,4.7,US,1589678313
Pozo Colorado,-23.49,-58.8,59.04,45,0,4.61,PY,1589678313
Kristiansund,63.11,7.73,37.4,86,100,27.51,NO,1589678313
Vilyuysk,63.76,121.62,57.61,55,100,4.56,RU,1589678313
Iracoubo,5.48,-53.2,77.86,87,100,12.24,GF,1589678313
Muravlenko,63.79,74.52,46.71,72,0,7.2,RU,1589678314
Sur,22.57,59.53,79.9,65,0,5.73,OM,1589678314
Gandajika,-6.75,23.95,68.97,86,0,3.29,CD,1589678315
Otavi,-19.65,17.33,58.96,33,0,10.2,NA,1589678315
Mackay,-21.15,149.2,71.6,78,40,17.22,AU,1589678315
Pakxan,18.38,103.66,85.39,63,34,3.44,LA,1589678315
Kambove,-10.88,26.6,55.4,74,0,5.48,CD,1589678315
Weihai,37.5,122.11,60.19,84,50,11.01,CN,1589678316
Raja,8.46,25.68,74.35,82,55,3.58,SS,1589678316
Aktau,43.65,51.2,62.6,82,2,20.13,KZ,1589678316
Kattivākkam,13.22,80.32,85.48,84,75,4.7,IN,1589678316
Worland,44.02,-107.96,64.38,39,100,5.99,US,1589678316
Nowy Targ,49.48,20.03,40.39,86,20,5.82,PL,1589678317
Esim,4.87,-2.24,81.25,85,19,8.19,GH,1589678100
Kamiiso,41.82,140.65,53.6,87,75,4.7,JP,1589678317
Saposoa,-6.93,-76.77,70.86,91,100,1.54,PE,1589678318
Codrington,-38.27,141.97,56.64,58,0,6.49,AU,1589678071
Kostanay,53.17,63.58,50.0,93,78,6.71,KZ,1589678318
Shingū,33.73,135.98,71.6,83,75,10.29,JP,1589678318
Wailuku,20.89,-156.5,79.36,55,40,21.92,US,1589678032
Toora-Khem,52.47,96.11,56.12,69,100,1.81,RU,1589678319
Monte Aprazível,-20.77,-49.71,71.6,46,0,5.12,BR,1589678319
Guarapari,-20.67,-40.5,68.54,100,90,2.24,BR,1589678319
Rio Grande,-32.03,-52.1,62.01,70,0,13.82,BR,1589678319
Bua Yai,15.59,102.43,88.47,59,59,12.39,TH,1589678320
Batangafo,7.3,18.28,74.46,88,100,5.35,CF,1589678320
El Tigre,8.89,-64.25,84.15,54,100,10.25,VE,1589678320
Chicama,-7.84,-79.15,70.07,74,32,5.3,PE,1589678320
Ürümqi,43.8,87.6,71.6,37,100,6.71,CN,1589678060
Departamento de Maldonado,-34.67,-54.92,68.7,60,0,10.29,UY,1589678306
Vila do Maio,15.13,-23.22,71.6,73,20,14.99,CV,1589678163
Tahoua,14.89,5.27,91.4,33,20,11.41,NE,1589678321
Visby,57.64,18.3,43.77,75,100,17.22,SE,1589678321
Santa Ana,33.75,-117.87,72.36,57,75,11.41,US,1589678151
Matagami,49.75,-77.63,41.0,75,90,6.93,CA,1589678322
Khovd,48.01,91.64,63.23,29,100,3.29,MN,1589678322
Varna,43.22,27.92,56.73,87,74,1.12,BG,1589678322
Oruro,-17.98,-67.15,44.37,58,0,9.28,BO,1589678323
Yurga,55.72,84.89,60.39,61,1,5.95,RU,1589678323
Paamiut,61.99,-49.67,39.42,89,100,12.35,GL,1589678323
Bend,44.06,-121.32,55.02,51,1,18.34,US,1589678098
Bolobo,-2.17,16.23,75.22,77,95,1.01,CD,1589678323
Pacific Grove,36.62,-121.92,68.77,52,1,10.29,US,1589678324
Ponferrada,42.55,-6.6,48.99,87,0,2.91,ES,1589678324
Rakaia,-43.75,172.02,53.47,74,0,7.63,NZ,1589678324
Luau,-10.71,22.22,66.72,58,75,4.54,AO,1589678324
Karasjok,69.47,25.51,33.8,100,100,13.87,NO,1589678325
Wajima,37.4,136.9,60.8,100,75,9.17,JP,1589678325
Ketchikan,55.34,-131.65,62.6,48,1,17.22,US,1589678325
Nome,64.5,-165.41,46.4,70,90,4.7,US,1589678326
Chuzhou,32.32,118.3,80.8,65,18,6.04,CN,1589678326
Sompeta,18.93,84.6,83.21,74,100,3.06,IN,1589678326
Maputo,-25.97,32.59,64.99,79,3,1.99,MZ,1589678326
Vila Franca do Campo,37.72,-25.43,62.6,93,75,8.05,PT,1589678327
Funadhoo,6.15,73.27,85.39,76,100,18.88,MV,1589678327
Touros,-5.2,-35.46,75.2,100,20,4.7,BR,1589678042
Miramar,25.99,-80.23,78.62,78,1,12.5,US,1589678055
Soyo,-6.13,12.37,78.53,89,0,3.36,AO,1589678327
Dudinka,69.41,86.18,37.4,93,75,17.9,RU,1589678328
Smithers,54.78,-127.17,64.4,36,90,2.24,CA,1589678100
Pueblo,38.25,-104.61,68.49,30,75,25.28,US,1589678328
Quthing,-30.4,27.7,41.43,58,0,1.16,LS,1589678328
Ārya,33.6,73.07,69.85,77,0,9.17,PK,1589678329
Makakilo City,21.35,-158.09,87.44,38,1,6.93,US,1589678322
Saint-François,46.42,3.91,46.62,87,0,3.02,FR,1589678329
Verkhnevilyuysk,63.45,120.32,58.5,57,100,3.96,RU,1589678329
Mikhaylovka,50.06,43.24,41.43,84,0,7.92,RU,1589678329
Faya,18.39,42.45,65.3,55,65,4.7,SA,1589678147
Penzance,50.12,-5.54,48.74,87,25,9.17,GB,1589678330
Saint Anthony,45.02,-93.22,54.93,87,90,9.17,US,1589678330
Río Gallegos,-51.62,-69.22,42.8,100,1,9.17,AR,1589678330
Aksha,50.28,113.29,54.9,69,94,8.97,RU,1589678330
Hamilton,39.18,-84.53,70.27,83,1,3.36,US,1589678139
Tual,-5.67,132.75,83.68,82,2,23.33,ID,1589678144
Sinnamary,5.38,-52.95,77.99,86,100,11.77,GF,1589678331
Morogoro,-6.82,37.67,64.29,84,0,1.57,TZ,1589678331
Nampula,-15.12,39.27,62.6,82,20,5.82,MZ,1589678332
Altamira,-3.2,-52.21,74.39,96,96,2.77,BR,1589678332
Mogadishu,2.04,45.34,80.73,79,14,16.13,SO,1589678332
Ulaangom,49.98,92.07,63.61,45,100,4.99,MN,1589678332
Ellicott City,39.27,-76.8,67.12,49,40,5.82,US,1589678256
Sonāmura,23.47,91.27,83.41,86,35,5.99,IN,1589678333
Ust'-Ordynskiy,52.8,104.75,44.6,52,100,5.26,RU,1589678333
Bellevue,47.61,-122.2,60.73,77,75,3.2,US,1589678302
Novomykolayivka,47.98,35.91,48.0,70,0,7.11,UA,1589678333
Krasnovishersk,60.41,57.08,42.51,91,100,5.99,RU,1589678334
Alice Town,25.72,-79.3,79.95,81,0,21.52,BS,1589678334
Mogok,22.92,96.5,73.26,55,100,2.13,MM,1589678334
Maniitsoq,65.42,-52.9,41.0,75,0,0.67,GL,1589678079
Staryy Merchyk,49.98,35.76,47.48,91,79,7.94,UA,1589678335
Kaseda-shirakame,31.42,130.32,73.27,78,75,9.17,JP,1589678335
Emba,48.83,58.14,53.74,92,100,1.97,KZ,1589678335
Yinzhu,35.88,119.98,72.97,78,20,2.24,CN,1589678335
Jumla,29.27,82.18,57.65,46,0,3.56,NP,1589678104
Mariehamn,60.1,19.93,41.0,74,82,3.36,AX,1589678336
Sola,-13.88,167.55,84.2,74,75,6.93,VU,1589678152
Okhotsk,59.38,143.3,38.07,81,100,3.94,RU,1589678336
Saurimo,-9.66,20.39,66.02,63,57,4.94,AO,1589678337
Aksu,41.12,80.26,72.27,25,0,10.4,CN,1589678081
Petropavlovsk-Kamchatskiy,53.05,158.65,44.6,77,75,11.18,RU,1589678337
Palmer,42.16,-72.33,58.89,77,75,3.36,US,1589678337
